,,,,
,,,,
,,,,
Name product,Price,Description,Category Product,Brend
Планер Hubsan Spy Hawk RTF 843 мм 2.4 ГГц с бортовой видеокамерой (H301C),"2 790,00",H301C,Планеры,Hubsan
Планер Joysway Smart-K RTF 510 мм 2.4 ГГц (JW6106 RTF),"1 590,00",JW6106 RTF,Планеры,Joysway
Планер Sonic Modell I-Sky Glider Brushless RTF 1420 мм 2.4 ГГц (I-SKY-RTF),"2 190,00",I-SKY-RTF,Планеры,Sonic Modell
Планер Thunder Tiger eHawk 1500 Balsa KIT 1520 мм (4202),"1 390,00",4202,Планеры,Thunder Tiger
Бортовой контроллер Parrot GPS Ar. Drone 2.0 (PF070055AA),"3 490,00",PF070055AA,Полетные контроллеры,Parrot
Приемник Blade ST-10 Chroma (BLH8607),"1 590,00",BLH8607,Приемники и модули,Blade
Расширительный модуль Spektrum X-Plus8 8 каналов (SPMXP8000),"3 290,00",SPMXP8000,Приемники и модули,Spektrum
Приемник WLToys (L929/L939-19),"290,00",L929/L939-19,Приемники и модули,WL Toys
Приемник квадрокоптера Yuneec Q500 2.4 ГГц (YUNQ500107),"1 390,00",YUNQ500107,Приемники и модули,Yuneec
Blade Адаптер USB для программирования квадрокоптера 350 QX (BLH7840),"590,00",BLH7840,Разъемы и переходники,Blade
Адаптер Traxxas Female to Molex Male (3062),"190,00",3062,Разъемы и переходники,Traxxas
Адаптер питания Traxxas (6541),"190,00",6541,Разъемы и переходники,Traxxas
Регулятор ESC Art-Tech Cessna 182 30 A (AT33027),"990,00",AT33027,Регуляторы и бортовое питание,Art-Tech
Thunder Tiger Регулятор для коллекторных двигателей Veloci RS 170 А (8050),"1 590,00",8050,Регуляторы и бортовое питание,Thunder Tiger
Регулятор ESC Yuneec Typhoon Q500 Brushless задний (YUNQ500113R),"1 190,00",YUNQ500113R,Регуляторы и бортовое питание,Yuneec
Регулятор ESC Yuneec Typhoon Q500 Brushless передний (YUNQ500113F),"1 190,00",YUNQ500113F,Регуляторы и бортовое питание,Yuneec
Самолет Art-Tech F4U Corsair 200CL Brushless RTF 525 мм 2.4 ГГц (AT21451),"3 290,00",AT21451,Самолеты,Art-Tech
Самолет Hobbyzone Duet RTF 523 мм 2.4 ГГц (HBZ5300),"2 090,00",HBZ5300,Самолеты,HobbyZone
Самолет Nine Eagles CTLS RTF 476 мм 2.4 ГГц (NE250004 (NE R/C 791B),"1 390,00",NE250004 (NE R/C 791B),Самолеты,Nine Eagles
Самолет Nine Eagles Extra 300 771B RTF 445 мм 3D 2.4 ГГц в кейсе (NE30177124207 in case),"2 090,00",NE30177124207 in case,Самолеты,Nine Eagles
