,,,,,,,,,
"Прайс Promodelsport",,,,,,,,,
,,,,,,,,,
"Вид номенклатуры",,,"Производитель","Артикул ",,"Номенклатура","Цена: Дилер (USD)","Цена: Опт (USD)","Цена: Розница (UAH)"
"Автомобили",,,"Traxxas","39036-1 Blue",,"Автомобиль Traxxas E-Maxx EVX Monster 1:10 RTR 518 мм 4WD 2,4 ГГц (39036-1 Blue)","430,00","450,00","15 190,00"
"Автомобили",,,"Traxxas","39036-1 Red",,"Автомобиль Traxxas E-Maxx EVX Monster 1:10 RTR 518 мм 4WD 2,4 ГГц (39036-1 Red)","430,00","450,00","15 190,00"
"Автомобили",,,"Traxxas","39036-1 Silver",,"Автомобиль Traxxas E-Maxx EVX Monster 1:10 RTR 518 мм 4WD 2,4 ГГц (39036-1 Silver)","430,00","450,00","15 190,00"
"Автомобили",,,"Traxxas","56087-1 Blue",,"Автомобиль Traxxas E-Revo Brushless Monster 1:10 RTR 582 мм 4WD 2,4 ГГц (56087-1 Blue)","690,00","730,00","22 790,00"
"Автомобили",,,"Traxxas","56087-1 Silver",,"Автомобиль Traxxas E-Revo Brushless Monster 1:10 RTR 582 мм 4WD 2,4 ГГц (56087-1 Silver)","690,00","730,00","22 790,00"
"Автомобили",,,"Traxxas","56036-1 Black",,"Автомобиль Traxxas E-Revo Monster 1:10 RTR 582 мм 4WD 2,4 ГГц (56036-1 Black)","500,00","530,00","17 790,00"
"Автомобили",,,"Traxxas","56036-1 Blue",,"Автомобиль Traxxas E-Revo Monster 1:10 RTR 582 мм 4WD 2,4 ГГц (56036-1 Blue)","500,00","530,00","17 790,00"
"Автомобили",,,"Traxxas","56036-1 Red",,"Автомобиль Traxxas E-Revo Monster 1:10 RTR 582 мм 4WD 2,4 ГГц (56036-1 Red)","500,00","530,00","17 790,00"
"Автомобили",,,"Traxxas","56036-1 Silver",,"Автомобиль Traxxas E-Revo Monster 1:10 RTR 582 мм 4WD 2,4 ГГц (56036-1 Silver)","500,00","530,00","17 790,00"
"Автомобили",,,"Traxxas","71054-1 Black",,"Автомобиль Traxxas E-Revo Monster 1:16 RTR 328 мм 4WD 2,4 ГГц (71054-1 Black)","230,00","250,00","8 090,00"
"Автомобили",,,"Traxxas","71054-1 Blue",,"Автомобиль Traxxas E-Revo Monster 1:16 RTR 328 мм 4WD 2,4 ГГц (71054-1 Blue)","230,00","250,00","8 090,00"
"Автомобили",,,"Traxxas","71054-1 Silver",,"Автомобиль Traxxas E-Revo Monster 1:16 RTR 328 мм 4WD 2,4 ГГц (71054-1 Silver)","230,00","250,00","8 090,00"
"Автомобили",,,"Traxxas","71074-1 Black",,"Автомобиль Traxxas E-Revo VXL Brushless Monster 1:16 RTR 328 мм 4WD 2,4 ГГц (71074-1 Black)","320,00","350,00","10 390,00"
"Автомобили",,,"Traxxas","71074-1 Blue",,"Автомобиль Traxxas E-Revo VXL Brushless Monster 1:16 RTR 328 мм 4WD 2,4 ГГц (71074-1 Blue)","320,00","350,00","10 390,00"
"Автомобили",,,"Traxxas","55077-1 Orange",,"Автомобиль Traxxas Jato 3,3 Nitro Stadium Truck 1:10 RTR 420 мм 2WD 2,4 ГГц (55077-1 Orange)","400,00","420,00","14 190,00"
